"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty 50","2024-03-22","21932.20","22180.70","21883.30","22096.75","84.80","0.39","388656439","39023.19","22.81","3.87","1.21"
"Nifty Next 50","2024-03-22","58987.10","59326.25","58644.30","59188.90","270.60","0.46","239966115","10207.54","25.60","4.75","1.24"
"Nifty 100","2024-03-22","22476.70","22709.35","22414.50","22633.80","94.90","0.42","630024734","49320.98","23.48","4.04","1.19"
"Nifty 200","2024-03-22","12084.35","12204.85","12050.50","12168.75","54.25","0.45","1921544340","67660.17","23.64","4.00","1.15"
"Nifty 500","2024-03-22","19855.00","20048.60","19806.70","19994.60","97.20","0.49","2601583232","82714.83","24.25","4.02","1.11"
"Nifty Midcap 50","2024-03-22","13262.80","13357.75","13210.90","13329.95","24.55","0.18","699267974","9603.95","20.40","3.62","1.17"
"NIFTY Midcap 100","2024-03-22","46986.25","47371.00","46843.50","47312.85","279.30","0.59","1291519606","18339.19","24.53","3.79","0.88"
"Nifty50 Dividend Points","2024-03-22","NaN","NaN","NaN","220.59","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","2024-03-22","20706.40","21177.40","20622.80","21046.40","346.15","1.67","52410949","6130.82","26.91","6.02","0.86"
"Nifty Bank","2024-03-22","46634.90","46974.15","46566.80","46863.75","178.85","0.38","172184807","10851.42","15.56","2.73","0.79"
"Nifty Energy","2024-03-22","38314.05","38618.05","38107.95","38411.55","83.20","0.22","119522088","6535.16","12.99","2.48","2.26"
"Nifty Financial Services","2024-03-22","20693.75","20846.05","20667.35","20783.55","68.75","0.33","119873388","12281.00","17.34","3.25","0.81"
"Nifty FMCG","2024-03-22","53312.90","53849.60","53305.05","53775.70","437.35","0.82","52649080","3765.20","42.95","11.16","1.95"
"Nifty IT","2024-03-22","35256.60","35419.25","34701.75","35188.40","-838.40","-2.33","48826144","8475.18","30.10","7.64","2.02"
"Nifty Media","2024-03-22","1823.45","1858.80","1821.45","1849.80","22.85","1.25","84690718","488.10","NaN","1.97","0.48"
"Nifty Metal","2024-03-22","8029.85","8169.45","7983.35","8130.80","78.05","0.97","179125574","4023.56","26.80","2.39","2.37"
"Nifty MNC","2024-03-22","25184.85","25490.50","25133.30","25455.60","241.45","0.96","33412580","4738.69","42.04","8.83","1.82"
"Nifty Pharma","2024-03-22","18594.75","18881.25","18583.75","18815.60","233.00","1.25","21427168","2429.73","35.92","5.13","0.73"
"Nifty PSU Bank","2024-03-22","6831.05","6909.95","6810.60","6888.50","65.85","0.97","153374001","3042.58","9.40","1.59","1.54"
"Nifty Realty","2024-03-22","863.50","876.80","860.40","874.50","15.10","1.76","12555449","1267.10","54.72","5.56","0.26"
"Nifty India Consumption","2024-03-22","9889.35","10022.30","9872.35","9994.55","107.15","1.08","95608065","11942.69","45.72","8.56","1.03"
"Nifty Commodities","2024-03-22","8151.55","8242.90","8117.05","8203.90","46.40","0.57","241663793","10440.31","15.33","2.38","1.94"
"Nifty Dividend Opportunities 50","2024-03-22","5620.15","5686.45","5582.70","5664.85","8.35","0.15","662197014","23359.40","16.95","3.57","2.73"
"Nifty Infrastructure","2024-03-22","8091.15","8183.05","8074.30","8146.40","55.55","0.69","167697098","11455.32","20.44","3.19","1.15"
"Nifty PSE","2024-03-22","8924.45","9035.60","8842.75","8968.25","33.40","0.37","331662148","8510.27","10.08","2.31","3.10"
"Nifty Services Sector","2024-03-22","27543.95","27725.25","27408.40","27622.80","-66.20","-0.24","213009809","23032.21","21.81","4.06","1.15"
"Nifty50 Shariah","2024-03-22","NaN","NaN","NaN","4638.47","-30.34","-0.65","157305307","13062.60","28.29","4.93","1.92"
"Nifty500 Shariah","2024-03-22","NaN","NaN","NaN","6509.25","-3.58","-0.05","691959512","31469.27","31.88","5.26","1.36"
"Nifty Low Volatility 50","2024-03-22","NaN","NaN","NaN","21756.09","118.14","0.55","273294076","30649.18","26.69","4.74","1.27"
"Nifty Alpha 50","2024-03-22","45204.40","45734.75","45038.90","45591.15","319.60","0.71","518612675","13719.17","26.70","4.11","0.80"
"Nifty High Beta 50","2024-03-22","NaN","NaN","NaN","3579.07","27.44","0.77","503767345","14932.11","16.61","2.11","1.45"
"Nifty100 Equal Weight","2024-03-22","28572.30","28855.55","28470.10","28781.75","186.40","0.65","630024734","49320.98","24.89","4.32","1.26"
"Nifty100 Liquid 15","2024-03-22","6245.15","6326.00","6228.10","6304.40","48.55","0.78","146759637","14405.00","26.45","3.60","0.76"
